sep=,
ID,Date-timestamp,Level-3-Fejl,Level-3-Fejl-type-A,Level-3-Fejl-type-B,Level-3-Tid,Level-4-Fejl,Level-4-Fejl-type-A,Level-4-Fejl-type-B,Level-4-Tid,Level-5-Fejl,Level-5-Fejl-type-A,Level-5-Fejl-type-B,Level-5-Tid,Level-6-Fejl,Level-6-Fejl-type-A,Level-6-Fejl-type-B,Level-6-Tid,Level-7-Fejl,Level-7-Fejl-type-A,Level-7-Fejl-type-B,Level-7-Tid,Level-8-Fejl,Level-8-Fejl-type-A,Level-8-Fejl-type-B,Level-8-Tid,Level-9-Fejl,Level-9-Fejl-type-A,Level-9-Fejl-type-B,Level-9-Tid,Level-10-Fejl,Level-10-Fejl-type-A,Level-10-Fejl-type-B,Level-10-Tid

test3,06-09-2022 13:32:29,0,0,0,00:06:66,0,0,0,00:08:65,0,0,0,00:10:47,0,0,0,00:15:68,0,0,0,00:16:83,1,0,1,00:23:66,12,10,2,00:35:85,19,19,0,00:40:48,


tete,12-09-2022 15:21:34,0,0,0,00:07:5,3,1,2,00:11:77,3,2,1,00:16:33,5,5,0,00:21:55,0,0,0,00:26:30,7,7,0,00:34:2,16,14,2,00:57:35,28,25,3,00:54:10,

test2,14-09-2022 13:16:55,2,0,2,00:11:76,0,0,0,00:11:12,0,0,0,00:13:0,2,1,1,00:18:18,8,8,0,00:24:67,7,6,1,00:28:37,2,0,2,00:26:84,1,1,0,00:34:69,
